Full Weapon Name,Weapon Augment,Weapon Base,Weapon Name,AmmoConfig,GeneralAmmoType,AmmoType,AmmoTypes,Size,Price,BaseWeaponPrice,AmmoTypePrice,Damage,Drop Range,Muzzle Velocity,Vertical Recoil,Rate of Fire,Cycle Time,Spread,Sway,Reload Speed,Loaded,Extra,Note
Drilling Shorty Flechette,Shorty,Drilling,,BulletShellType,Shells,Flechette,Shells / Flechette,Medium Slot,350,330,20,130,20,375,30,11,5.8,26.2,100,4.9,1,3,Causes Medium Bleeding
Drilling Shorty FMJ,Shorty,Drilling,,BulletShellType,Medium,FMJ,Medium / FMJ,Medium Slot,380,330,50,118,105,340,20,20,0.6,62.5,100,4.8,2,20,Damage dropoff begins at 40m
Drilling Shorty High Velocity,Shorty,Drilling,,BulletShellType,Medium,High Velocity,Medium / High Velocity,Medium Slot,390,330,60,113,135,524,22,20,0.6,62.5,100,4.8,2,13,
Drilling Shorty Penny Shot,Shorty,Drilling,,BulletShellType,Shells,Penny Shot,Shells / Penny Shot,Medium Slot,335,330,5,85,15,375,30,11,5.8,62.1,100,4.9,1,4,
Drilling Shorty Slug,Shorty,Drilling,,BulletShellType,Shells,Slug,Shells / Slug,Medium Slot,395,330,65,157,20,375,30,11,5.8,125,100,4.9,1,2,
Drilling Slug,Base,Drilling,,BulletShellType,Shells,Slug,Shells / Slug,Large Slot,575,510,65,179,20,450,32,9,6.2,65,77,5.1,1,3,
Frontier 73C,Base,Frontier,Frontier,SingleBulletType,Compact,Default,Compact / Default,Large Slot,41,41,0,110,140,400,5,29,1.2,17.5,77,10.1,8,28,
Frontier 73C FMJ,Base,Frontier,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,91,41,50,110,125,330,8,29,1.2,17.5,77,10.1,8,28,Damage dropoff begins at 30m
Frontier 73C High Velocity,Base,Frontier,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,101,41,60,104,160,500,8,29,1.2,17.5,77,10.1,8,18,
Frontier 73C Incendiary,Base,Frontier,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,81,41,40,110,140,400,5,29,1.2,17.5,77,10.1,8,28,Ignites Hunters in one shot up to 20m
Frontier 73C Marksman,Marksman,Frontier,Frontier Marksman,SingleBulletType,Compact,Default,Compact / Default,Large Slot,45,45,0,110,140,400,5,29,1.3,25,69,10.1,8,28,
Frontier 73C Marksman FMJ,Marksman,Frontier,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,95,45,50,110,125,330,8,29,1.3,25,69,10.1,8,28,Damage dropoff begins at 30m
Frontier 73C Marksman High Velocity,Marksman,Frontier,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,105,45,60,104,160,500,8,29,1.3,25,69,10.1,8,18,
Frontier 73C Marksman Incendiary,Marksman,Frontier,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,85,45,40,110,140,400,5,29,1.3,25,69,10.1,8,28,Ignites hunters in one shot up to 20m
Frontier 73C Marksman Poison,Marksman,Frontier,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,95,45,50,110,140,400,5,29,1.3,25,69,10.1,8,28,Causes Medium Poison
Frontier 73C Marksman Subsonic,Marksman,Frontier,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,50,45,5,110,110,263,5,29,1.3,25,69,10.1,8,34,Reduced Sound
Frontier 73C Poison,Base,Frontier,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,91,41,50,110,140,400,5,29,1.2,17.5,77,10.1,8,28,Causes Medium Poison
Frontier 73C Silencer,Silencer,Frontier,Frontier Silencer,SingleBulletType,Compact,Default,Compact / Default,Large Slot,55,55,0,104,120,340,5,29,1.2,25,77,10.1,8,28,
Frontier 73C Silencer FMJ,Silencer,Frontier,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,105,55,50,104,105,272,8,29,1.2,25,77,10.1,8,28,Damage dropoff begins at 30m
Frontier 73C Silencer High Velocity,Silencer,Frontier,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,115,55,60,98,135,440,7,29,1.2,25,77,10.1,8,18,
Frontier 73C Silencer Incendiary,Silencer,Frontier,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,95,55,40,104,120,340,5,29,1.2,25,77,10.1,8,28,Ignites Hunters in one shot up to 20m
Frontier 73C Silencer Poison,Silencer,Frontier,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,105,55,50,104,120,340,5,29,1.2,25,77,10.1,8,28,Causes Medium Poison
Frontier 73C Silencer Subsonic,Silencer,Frontier,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,60,55,5,104,100,242,5,29,1.2,25,77,10.1,8,34,Reduced Sound
Frontier 73C Subsonic,Base,Frontier,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,46,41,5,110,110,263,5,29,1.2,17.5,77,10.1,8,34,Reduced Sound
Hand Crossbow,Base,HandCrossbow,HandCrossbow,TwoSpecialType,Special,Default,Special / Default,Small Slot,30,30,0,195,15,100,1.2,14,4.5,25,82,4.3,1,8,
Hand Crossbow Chaos Bolt,Base,HandCrossbow,,TwoSpecialType,Special,Chaos Bolt,Special / Chaos Bolt,Small Slot,40,30,10,65,15,50,1.2,14,4.5,25,82,4.3,1,5,Makes a random gunshot sound at the point of impact.
Hand Crossbow Choke Bolt,Base,HandCrossbow,,TwoSpecialType,Special,Choke Bolt,Special / Choke Bolt,Small Slot,40,30,10,1,15,100,1.2,14,4.5,25,82,4.3,1,5,"Creates a small, short lived choke cloud at the point of impact."
Hand Crossbow Dragon Bolt,Base,HandCrossbow,,TwoSpecialType,Special,Dragon Bolt,Special / Dragon Bolt,Small Slot,70,30,40,17,15,100,1.2,14,4.5,25,82,4.3,1,3,Causes Medium Burning
Hand Crossbow Poison Bolt,Base,HandCrossbow,,TwoSpecialType,Special,Poison,Special / Poison,Small Slot,55,30,25,110,15,100,1.2,14,4.5,25,82,4.3,1,8,Causes Light Poison
Haymaker,Base,Haymaker,Haymaker,BulletShellType,Long,Default,Long / Default,Medium Slot,279,279,0,122,65,530,23,18,1.3,40,100,21.8,9,9,
Haymaker Buckshot,Base,Haymaker,Haymaker,BulletShellType,Shells,Default,Shells / Default,Medium Slot,0,0,0,200,20,350,35,10,6,40,100,5,1,3,
Haymaker Dragon Breath,Base,Haymaker,,BulletShellType,Long,Dragon Breath,Long / Dragon Breath,Medium Slot,289,279,10,45,20,100,35,10,6,150,100,5,3,9,Causes Medium Burning
Haymaker FMJ,Base,Haymaker,,BulletShellType,Long,FMJ,Long / FMJ,Medium Slot,339,279,60,122,50,375,25,18,1.3,40,100,21.8,9,9,Damage dropoff begins at 50m
Haymaker Poison,Base,Haymaker,,BulletShellType,Long,Poison,Long / Poison,Medium Slot,339,279,60,122,65,350,23,18,1.3,40,100,21.8,9,9,Causes Intense Poison
Haymaker Slug,Base,Haymaker,,BulletShellType,Long,Slug,Long / Slug,Medium Slot,344,279,65,159,20,350,35,10,6,115,100,5,1,2,
Haymaker Starshell,Base,Haymaker,,BulletShellType,Long,Starshell,Long / Starshell,Medium Slot,284,279,5,3,20,75,5,10,6,50,100,5,1,9,Causes Intense Burning
Homestead 78,Base,Homestead,Homestead,SingleShellType,Shells,Default,Shells / Default,Large Slot,Scarce,-1,0,220,30,450,20,24,0.3,20,77,4.7,2,8,
Homestead 78 Dragon Breath,Base,Homestead,,SingleShellType,Shells,Dragon Breath,Shells / Dragon Breath,Large Slot,Scarce + 20,-1,-1,149,30,125,20,24,0.3,55,77,4.7,2,8,Causes Medium Burning
Homestead 78 Flechette,Base,Homestead,,SingleShellType,Shells,Flechette,Shells / Flechette,Large Slot,Scarce + 40,-1,-1,162,30,450,20,24,0.3,5,77,4.7,2,8,Causes Medium Bleeding
Homestead 78 Penny Shot,Base,Homestead,,SingleShellType,Shells,Penny Shot,Shells / Penny Shot,Large Slot,Scarce + 10,-1,-1,174,30,450,20,24,0.3,75,77,4.7,2,12,
Homestead 78 Slug,Base,Homestead,,SingleShellType,Shells,Slug,Shells / Slug,Large Slot,Scarce + 130,-1,-1,195,30,450,20,24,0.3,70,77,4.7,2,5,
Hunting Bow,Base,Bow,Bow,TwoSpecialType,Special,Default,Special / Default,Medium Slot,57,57,0,250,30,150,1,51,1.3,12.5,82,0.6,1,8,
Hunting Bow Concertina Arrows,Base,Bow,,TwoSpecialType,Special,Concertina Arrows,Special / Concertina Arrows,Medium Slot,87,57,30,250,10,80,1,51,1.3,12.4,82,0.6,1,5,"Causes Medium Bleeding, Creates a small bundle of concertina wire (6-8 strands) on impact"
Hunting Bow Frag Arrows,Base,Bow,,TwoSpecialType,Special,Frag Arrows,Special / Frag Arrows,Medium Slot,57 + Scarce,57,-1,250,10,80,1,51,1.3,12.5,82,0.6,1,5,"Causes Medium Bleeding, Explodes 2 seconds after release, causing bleeding"
Hunting Bow Poison Arrows,Base,Bow,,TwoSpecialType,Special,Poison Arrows,Special / Poison Arrows,Medium Slot,82,57,25,250,30,150,1,51,1.3,12.3,82,0.6,1,5,Causes Intense Poison
Infantry 73L,Base,Infantry,Infantry,SingleBulletType,Compact,Default,Compact / Default,Large Slot,78,78,0,110,145,400,3,35,1.2,17.5,77,17.9,18,20,
Infantry 73L Bayonet,Bayonet,Infantry,Infantry Bayonet,SingleBulletType,Compact,Default,Compact / Default,Large Slot,88,88,0,110,145,400,3,35,1.2,17.5,77,17.9,18,20,
Infantry 73L Bayonet FMJ,Bayonet,Infantry,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,138,88,50,110,130,330,5,35,1.2,17.5,77,17.9,18,20,Damage dropoff begins at 30m
Infantry 73L Bayonet High Velocity,Bayonet,Infantry,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,148,88,60,104,170,525,5,35,1.2,17.5,77,17.9,18,13,
Infantry 73L Bayonet Incendiary,Bayonet,Infantry,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,128,88,40,110,145,400,3,35,1.2,17.5,77,17.9,18,20,Ignites Hunters in one shot up to 20m
Infantry 73L Bayonet Poison,Bayonet,Infantry,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,138,88,50,110,145,400,3,35,1.2,17.5,77,17.9,18,20,Causes Medium Poison
Infantry 73L Bayonet Subsonic,Bayonet,Infantry,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,93,88,5,110,115,263,3,35,1.2,17.5,77,17.9,18,24,Reduced Sound
Infantry 73L FMJ,Base,Infantry,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,128,78,50,110,130,330,5,35,1.2,17.5,77,17.9,18,20,Damage dropoff begins at 30m
Infantry 73L High Velocity,Base,Infantry,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,138,78,60,104,170,525,5,35,1.2,17.5,77,17.9,18,13,
Infantry 73L Incendiary,Base,Infantry,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,118,78,40,110,145,400,3,35,1.2,17.5,77,17.9,18,20,Ignites Hunters in one shot up to 20m
Infantry 73L Poison,Base,Infantry,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,128,78,50,110,145,400,3,35,1.2,17.5,77,17.9,18,20,Causes Medium Poison
Infantry 73L Sniper,Sniper,Infantry,Infantry Sniper,SingleBulletType,Compact,Default,Compact / Default,Large Slot,90,90,0,110,145,400,3,35,1.2,17.5,69,17.9,18,20,
Infantry 73L Sniper FMJ,Sniper,Infantry,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,140,90,50,110,130,330,5,35,1.2,17.5,69,17.9,18,20,Damage dropoff begins at 30m
Infantry 73L Sniper High Velocity,Sniper,Infantry,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,150,90,60,104,170,525,5,35,1.2,17.5,69,17.9,18,13,
Infantry 73L Sniper Incendiary,Sniper,Infantry,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,130,90,40,110,145,400,3,35,1.2,17.5,69,17.9,18,20,Ignites Hunters in one shot up to 20m
Infantry 73L Sniper Poison,Sniper,Infantry,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,140,90,50,110,145,400,3,35,1.2,17.5,69,17.9,18,20,Causes Medium Poison
Infantry 73L Sniper Subsonic,Sniper,Infantry,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,95,90,5,110,115,263,3,35,1.2,17.5,69,17.9,18,24,Reduced Sound
Infantry 73L Subsonic,Base,Infantry,,SingleBulletType,Compact,Subsonic,Compact / Subsonic,Large Slot,83,78,5,110,115,263,3,35,1.2,17.5,77,17.9,18,24,Reduced Sound
Krag,Base,Krag,Krag,SingleBulletType,Long,Default,Long / Default,Large Slot,450,450,0,126,140,610,3,23,1.4,30,77,11.1,6,10,
Krag Bayonet,Bayonet,Krag,Krag Bayonet,SingleBulletType,Long,Default,Long / Default,Large Slot,460,460,0,126,140,610,3,23,1.4,30,77,11.1,6,10,
Krag Bayonet FMJ,Bayonet,Krag,,SingleBulletType,Long,FMJ,Long / FMJ,Large Slot,520,460,60,126,125,458,6,23,1.4,30,77,11.1,6,10,Damage dropoff begins at 50m
Krag Bayonet Incendiary,Bayonet,Krag,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,530,460,70,126,140,610,3,23,1.4,30,77,11.1,6,10,Ignites Hunters in one shot up to 40m
Krag Bayonet Subsonic,Bayonet,Krag,,SingleBulletType,Long,Subsonic,Long / Subsonic,Large Slot,480,460,20,126,110,336,3,23,1.4,30,77,11.1,6,12,Reduced Sound
Krag FMJ,Base,Krag,,SingleBulletType,Long,FMJ,Long / FMJ,Large Slot,510,450,60,126,125,458,6,23,1.4,30,77,11.1,6,10,Damage dropoff begins at 50m
Krag Incendiary,Base,Krag,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,520,450,70,126,140,610,3,23,1.4,30,77,11.1,6,10,Ignites Hunters in one shot up to 40m
Krag Silencer,Silencer,Krag,Krag Silencer,SingleBulletType,Long,Default,Long / Default,Large Slot,517,517,0,126,130,518,3,23,1.4,30,77,11.1,6,10,
Krag Silencer FMJ,Silencer,Krag,,SingleBulletType,Long,FMJ,Long / FMJ,Large Slot,577,517,60,126,120,414,6,23,1.4,30,77,11.1,6,10,Damage dropoff begins at 50m
Krag Silencer Incendiary,Silencer,Krag,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,587,517,70,126,130,518,3,23,1.4,30,77,11.1,6,10,Ignites Hunters in one shot up to 40m
Krag Silencer Subsonic,Silencer,Krag,,SingleBulletType,Long,Subsonic,Long / Subsonic,Large Slot,537,517,20,126,105,304,3,23,1.4,30,77,11.1,6,12,Reduced Sound
Krag Sniper,Sniper,Krag,Krag Sniper,SingleBulletType,Long,Default,Long / Default,Large Slot,517,517,0,126,140,610,3,23,1.4,60,69,11.1,6,10,
Krag Sniper FMJ,Sniper,Krag,,SingleBulletType,Long,FMJ,Long / FMJ,Large Slot,577,517,60,126,125,458,6,23,1.4,60,69,11.1,6,10,Damage dropoff begins at 50m
Krag Sniper Incendiary,Sniper,Krag,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,587,517,70,126,140,610,3,23,1.4,60,69,11.1,6,10,Ignites Hunters in one shot up to 40m
Krag Sniper Subsonic,Sniper,Krag,,SingleBulletType,Long,Subsonic,Long / Subsonic,Large Slot,537,517,20,126,110,336,3,23,1.4,60,69,11.1,6,12,Reduced Sound
Krag Subsonic,Base,Krag,,SingleBulletType,Long,Subsonic,Long / Subsonic,Large Slot,470,450,20,126,110,336,3,23,1.4,30,77,11.1,6,12,Reduced Sound
Lebel 1886,Base,Lebel,Lebel,SingleBulletType,Long,Default,Long / Default,Large Slot,397,397,0,132,140,630,9,20,1.8,30,77,18.7,10,5,
Lebel 1886 Aperture,Aperture,Lebel,Lebel Aperture,SingleBulletType,Long,Default,Long / Default,Large Slot,417,417,0,132,140,630,9,20,1.8,30,69,18.7,10,5,
Lebel 1886 Aperture Incendiary,Aperture,Lebel,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,487,417,70,132,140,630,9,20,1.8,30,69,18.7,10,5,Ignites Hunters in one shot up to 40m
Lebel 1886 Aperture Spitzer,Aperture,Lebel,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,567,417,150,113,165,850,13,20,1.8,30,69,18.7,10,3,
Lebel 1886 Incendiary,Base,Lebel,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,467,397,70,132,140,630,9,20,1.8,30,77,18.7,10,5,Ignites Hunters in one shot up to 40m
Lebel 1886 Marksman,Marksman,Lebel,Lebel Marksman,SingleBulletType,Long,Default,Long / Default,Large Slot,437,437,0,132,140,630,9,20,1.8,50,69,18.7,10,5,
Lebel 1886 Marksman Incendiary,Marksman,Lebel,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,507,437,70,132,140,630,9,20,1.8,50,69,18.7,10,5,Ignites Hunters in one shot up to 40m
Lebel 1886 Marksman Spitzer,Marksman,Lebel,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,587,437,150,113,165,850,13,20,1.8,50,69,18.7,10,3,
Lebel 1886 Spitzer,Base,Lebel,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,547,397,150,113,165,850,13,20,1.8,30,77,18.7,10,3,
Lebel 1886 Talon,Talon,Lebel,Lebel Talon,SingleBulletType,Long,Default,Long / Default,Large Slot,407,407,0,132,140,630,11,20,1.8,30,77,18.7,10,5,
Lebel 1886 Talon Incendiary,Talon,Lebel,,SingleBulletType,Long,Incendiary,Long / Incendiary,Large Slot,477,407,70,132,140,630,11,20,1.8,30,77,18.7,10,5,Ignites Hunters in one shot up to 40m
Lebel 1886 Talon Spitzer,Talon,Lebel,,SingleBulletType,Long,Spitzer,Long / Spitzer,Large Slot,557,407,150,113,165,850,13,20,1.8,30,77,18.7,10,3,
LeMat,Base,LeMat,LeMat,BulletShellType,Compact,Default,Compact / Default,Small Slot,83,83,0,97,75,375,6,25,1.3,40,128,15.8,9,18,
LeMat Buckshot,Base,LeMat,LeMat,BulletShellType,Shells,Default,Shells / Default,Small Slot,0,83,0,200,10,350,35,12,5.2,45,128,3.9,1,3,
LeMat Carbine,Carbine,LeMat,LeMat Carbine,BulletShellType,Compact,Default,Compact / Default,Large Slot,115,115,0,107,130,460,2.5,21,1.2,35,77,18.7,9,18,
LeMat Carbine Buckshot,Carbine,LeMat,LeMat Carbine,BulletShellType,Shells,Default,Shells / Default,Large Slot,0,115,0,200,25,425,15,10,6.3,45,77,5,1,5,
LeMat Carbine Dragon Breath,Carbine,LeMat,,BulletShellType,Compact,Dragon Breath,Compact / Dragon Breath,Large Slot,125,115,10,50,25,100,15,10,6.3,125,77,5,9,5,Causes Medium Burning
LeMat Carbine FMJ,Carbine,LeMat,,BulletShellType,Compact,FMJ,Compact / FMJ,Large Slot,165,115,50,107,120,415,4.5,21,1.2,35,77,18.7,9,18,Damage dropoff begins at 30m
LeMat Carbine Incendiary,Carbine,LeMat,,BulletShellType,Compact,Incendiary,Compact / Incendiary,Large Slot,155,115,40,107,130,460,2.5,21,1.2,35,77,18.7,9,18,Ignites Hunters in one shot up to 20m
LeMat Carbine Marksman,Carbine Marksman,LeMat,LeMat Carbine Marksman,BulletShellType,Compact,Default,Compact / Default,Large Slot,127,127,0,107,130,460,2.5,21,1.2,55,69,18.7,9,18,
LeMat Carbine Marksman Buckshot,Carbine Marksman,LeMat,LeMat Carbine Marksman,BulletShellType,Shells,Default,Shells / Default,Large Slot,0,127,0,200,25,425,15,10,6.3,45,69,5,1,5,
LeMat Carbine Marksman Dragon Breath,Carbine Marksman,LeMat,,BulletShellType,Compact,Dragon Breath,Compact / Dragon Breath,Large Slot,137,127,10,50,25,100,15,10,6.3,125,69,5,1,5,Causes Medium Burning
LeMat Carbine Marksman FMJ,Carbine Marksman,LeMat,,BulletShellType,Compact,FMJ,Compact / FMJ,Large Slot,177,127,50,107,120,415,4.5,21,1.2,55,69,18.7,9,18,Damage dropoff begins at 30m
LeMat Carbine Marksman Incendiary,Carbine Marksman,LeMat,,BulletShellType,Compact,Incendiary,Compact / Incendiary,Large Slot,167,127,40,107,130,460,2.5,21,1.2,55,69,18.7,9,18,Ignites Hunters in one shot up to 20m
LeMat Carbine Marksman Slug,Carbine Marksman,LeMat,,BulletShellType,Compact,Slug,Compact / Slug,Large Slot,192,127,65,165,25,425,15,10,6.3,95,69,5,1,4,
LeMat Carbine Marksman Starshell,Carbine Marksman,LeMat,,BulletShellType,Compact,Starshell,Compact / Starshell,Large Slot,132,127,5,1,25,75,5,10,6.3,50,69,5,1,5,Causes Intense Burning
LeMat Carbine Slug,Carbine,LeMat,,BulletShellType,Compact,Slug,Compact / Slug,Large Slot,180,115,65,165,25,425,15,10,6.3,95,77,5,1,4,
LeMat Carbine Starshell,Carbine,LeMat,,BulletShellType,Compact,Starshell,Compact / Starshell,Large Slot,120,115,5,1,25,75,5,10,6.3,50,77,5,1,5,Causes Intense Burning
LeMat Dragon Breath,Base,LeMat,,BulletShellType,Compact,Dragon Breath,Compact / Dragon Breath,Small Slot,93,83,10,40,10,100,35,12,5.2,150,128,3.9,1,3,Causes Medium Burning
LeMat FMJ,Base,LeMat,,BulletShellType,Compact,FMJ,Compact / FMJ,Small Slot,133,83,50,97,70,335,8,25,1.3,40,128,15.8,9,18,Damage dropoff begins at 30m
LeMat Incendiary,Base,LeMat,,BulletShellType,Compact,Incendiary,Compact / Incendiary,Small Slot,123,83,40,97,75,375,6,25,1.3,40,128,15.8,9,18,Ignites Hunters in one shot up to 20m
LeMat Slug,Base,LeMat,,BulletShellType,Compact,Slug,Compact / Slug,Small Slot,148,83,65,157,10,350,35,12,5.2,115,128,3.9,1,2,
LeMat Starshell,Base,LeMat,,BulletShellType,Compact,Starshell,Compact / Starshell,Small Slot,88,83,5,1,10,75,5,12,5.2,50,128,3.9,1,3,Causes Intense Burning
Mako 1895,Base,Mako,Mako,SingleBulletType,Long,Default,Long / Default,Large Slot,360,360,0,128,115,540,11,20,1.6,27.5,77,13,7,8,
Mako 1895 Aperture,Aperture,Mako,Mako Aperture,SingleBulletType,Long,Default,Long / Default,Large Slot,378,378,0,128,115,540,15,20,1.6,27.5,69,13,7,8,
Mako 1895 Aperture Explosive,Aperture,Mako,,SingleBulletType,Long,Explosive,Long / Explosive,Large Slot,478,378,100,127,85,432,15,20,1.6,27.5,69,13,7,8,
Mako 1895 Aperture FMJ,Aperture,Mako,,SingleBulletType,Long,FMJ,Long / FMJ,Large Slot,438,378,60,128,95,405,14,20,1.6,27.5,69,13,7,8,Damage dropoff begins at 50m
Mako 1895 Claw,Claw,Mako,Mako Claw,SingleBulletType,Long,Default,Long / Default,Large Slot,370,370,0,128,115,540,11,20,1.6,27.5,77,13,7,8,
Mako 1895 Claw Explosive,Claw,Mako,,SingleBulletType,Long,Explosive,Long / Explosive,Large Slot,470,370,100,127,85,432,11,20,1.6,27.5,77,13,7,8,
Mako 1895 Claw FMJ,Claw,Mako,,SingleBulletType,Long,FMJ,Long / FMJ,Large Slot,430,370,60,128,95,405,14,20,1.6,27.5,77,13,7,8,Damage dropoff begins at 50m
Mako 1895 Explosive,Base,Mako,,SingleBulletType,Long,Explosive,Long / Explosive,Large Slot,460,360,100,127,85,432,11,20,1.6,27.5,77,13,7,8,
Mako 1895 FMJ,Base,Mako,,SingleBulletType,Long,FMJ,Long / FMJ,Large Slot,420,360,60,128,95,405,14,20,1.6,27.5,77,13,7,8,Damage dropoff begins at 50m
Marathon,Base,Marathon,Marathon,SingleBulletType,Compact,Default,Compact / Default,Large Slot,68,68,0,113,140,430,7,31,1,15,77,19.2,16,24,
Marathon FMJ,Base,Marathon,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,118,68,50,113,125,360,9,31,1,15,77,19.2,16,24,Damage dropoff begins at 30m
Marathon High Velocity,Base,Marathon,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,118,68,50,107,170,555,9,31,1,15,77,19.2,16,16,
Marathon Incendiary,Base,Marathon,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,108,68,40,113,140,430,7,31,1,15,77,19.2,16,24,Ignites Hunters in one shot up to 20m
Marathon Poison,Base,Marathon,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,118,68,50,113,140,430,7,31,1,15,77,19.2,16,24,Causes Medium Poison
Marathon Swift,Swift,Marathon,Marathon Swift,SingleBulletType,Compact,Default,Compact / Default,Large Slot,95,95,0,113,140,430,7,45,1,15,77,10,16,24,
Marathon Swift FMJ,Swift,Marathon,,SingleBulletType,Compact,FMJ,Compact / FMJ,Large Slot,145,95,50,113,125,360,9,45,1,15,77,10,16,24,Damage dropoff begins at 30m
Marathon Swift High Velocity,Swift,Marathon,,SingleBulletType,Compact,High Velocity,Compact / High Velocity,Large Slot,145,95,50,107,170,555,9,45,1,15,77,10,16,16,
Marathon Swift Incendiary,Swift,Marathon,,SingleBulletType,Compact,Incendiary,Compact / Incendiary,Large Slot,135,95,40,113,140,430,7,45,1,15,77,10,16,24,Ignites Hunters in one shot up to 20m
Marathon Swift Poison,Swift,Marathon,,SingleBulletType,Compact,Poison,Compact / Poison,Large Slot,145,95,50,113,140,430,7,45,1,15,77,10,16,24,Causes Medium Poison
Martini-Henry,Base,Martini,Martini,TwoBulletType,Long,Default,Long / Default,Large Slot,122,122,0,143,125,400,12,18,3.5,40,77,2.7,1,10,
Martini-Henry Deadeye,Deadeye,Martini,Martini Deadeye,TwoBulletType,Long,Default,Long / Default,Large Slot,128,128,0,143,125,400,12,18,3.5,50,69,2.7,1,10,
Martini-Henry Deadeye Explosive,Deadeye,Martini,,TwoBulletType,Long,Explosive,Long / Explosive,Large Slot,178,128,50,138,95,300,12,18,3.5,50,69,2.7,1,10,
Martini-Henry Deadeye FMJ,Deadeye,Martini,,TwoBulletType,Long,FMJ,Long / FMJ,Large Slot,158,128,30,143,110,320,16,18,3.5,50,69,2.7,1,10,Damage dropoff begins at 50m
Martini-Henry Deadeye High Velocity,Deadeye,Martini,,TwoBulletType,Long,High Velocity,Long / High Velocity,Large Slot,163,128,35,136,140,500,16,18,3.5,50,69,2.7,1,7,
Martini-Henry Deadeye Incendiary,Deadeye,Martini,,TwoBulletType,Long,Incendiary,Long / Incendiary,Large Slot,163,128,35,143,125,400,12,18,3.5,50,69,2.7,1,10,Ignites Hunters in one shot up to 40m
Martini-Henry Explosive,Base,Martini,,TwoBulletType,Long,Explosive,Long / Explosive,Large Slot,172,122,50,138,95,300,12,18,3.5,40,77,2.7,1,10,
Martini-Henry FMJ,Base,Martini,,TwoBulletType,Long,FMJ,Long / FMJ,Large Slot,152,122,30,143,110,320,16,18,3.5,40,77,2.7,1,10,Damage dropoff begins at 50m
Martini-Henry High Velocity,Base,Martini,,TwoBulletType,Long,High Velocity,Long / High Velocity,Large Slot,157,122,35,136,140,500,16,18,3.5,40,77,2.7,1,7,
Martini-Henry Incendiary,Base,Martini,,TwoBulletType,Long,Incendiary,Long / Incendiary,Large Slot,157,122,35,143,125,400,12,18,3.5,40,77,2.7,1,10,Ignites Hunters in one shot up to 40m
Martini-Henry Ironside,Ironside,Martini,Martini Ironside,TwoBulletType,Long,Default,Long / Default,Large Slot,159,159,0,143,125,400,12,18,1.8,40,77,14.7,6,15,
Martini-Henry Ironside Explosive,Ironside,Martini,,TwoBulletType,Long,Explosive,Long / Explosive,Large Slot,259,159,100,138,95,300,12,18,1.8,40,77,14.7,6,15,
